[0.000000] (-) TimerEvent: {}
[0.000128] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000166] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000197] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000228] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000257] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000287] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000317] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000349] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000378] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000408] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000437] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000467] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000496] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000526] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000555] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000585] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000614] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000644] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000674] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000707] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000737] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000767] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000823] (-) JobUnselected: {'identifier': 'my_cpp_pkg'}
[0.001046] (-) JobUnselected: {'identifier': 'my_py_pkg'}
[0.001069] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.001084] (-) JobUnselected: {'identifier': 'py_pubsub2'}
[0.001098] (-) JobUnselected: {'identifier': 'py_pubsub3'}
[0.001110] (-) JobUnselected: {'identifier': 'turtorial_interfaces'}
[0.001124] (-) EventReactorShutdown: {}
